Date,Open,High,Low,Close,Volume
22-12-2017,1302,1331.949951,1295.099976,1323.380005,3665664
26-12-2017,1343,1344.880005,1315.800049,1324.719971,2175786
27-12-2017,1324.719971,1329.25,1305.25,1309.949951,739284
28-12-2017,1304.400024,1326.75,1302.819946,1313.469971,2605088
29-12-2017,1311.550049,1354.449951,1309.280029,1350.599976,2609542
01-01-2018,1341.150024,1347.400024,1317.5,1322.800049,1351760
02-01-2018,1330,1334.800049,1310.099976,1315.599976,1920290
03-01-2018,1316,1334.5,1315.599976,1319.319946,1257120
04-01-2018,1325,1331,1320,1328.550049,913082
05-01-2018,1325,1349.75,1325,1344.599976,1153706
08-01-2018,1350,1363.430054,1340.930054,1357.199951,1242220
09-01-2018,1357.5,1360.5,1338.280029,1354.5,2149396
10-01-2018,1355.5,1408,1347.319946,1403.300049,3365850
11-01-2018,1405,1410.949951,1391.099976,1395.25,2520744
12-01-2018,1402.5,1402.5,1370.280029,1388.180054,3360314
15-01-2018,1388.569946,1404,1367.530029,1373.050049,1457214
16-01-2018,1378,1430.819946,1375.280029,1425.430054,4267752
17-01-2018,1435,1462.5,1431.069946,1444.469971,4280806
18-01-2018,1448.5,1466.5,1434.030029,1459.099976,2209478
19-01-2018,1465.280029,1491,1451.819946,1479.650024,1820000
22-01-2018,1480.5,1567.349976,1461,1558.199951,4367110
23-01-2018,1557.469971,1571.180054,1545.030029,1551,3239610
24-01-2018,1545,1629.530029,1541.319946,1587.300049,5621538
25-01-2018,1587.5,1589.900024,1540.5,1560.530029,3833844
29-01-2018,1565.699951,1612.5,1561,1599.430054,3141060
30-01-2018,1590,1601.900024,1571.849976,1576.430054,1574758
31-01-2018,1568.5,1575,1549.300049,1556.180054,3043214
01-02-2018,1562,1595,1544.400024,1569.300049,2400630
02-02-2018,1560,1595,1551.719971,1576.819946,2456490
05-02-2018,1555,1594,1538.430054,1551.599976,2757742
06-02-2018,1505,1538.569946,1492.5,1498.619995,2657306
07-02-2018,1513.5,1515.5,1473.719971,1477.530029,2180324
08-02-2018,1489.880005,1513.800049,1479.5,1487.099976,2755004
09-02-2018,1475,1497,1448.319946,1485.849976,2102458
12-02-2018,1489.150024,1511.680054,1477.780029,1483.650024,1974562
14-02-2018,1485,1487.219971,1446.25,1455.900024,2847532
15-02-2018,1465.969971,1471.5,1452.550049,1462.930054,2465236
16-02-2018,1461.5,1499.800049,1461.5,1466.530029,2515756
19-02-2018,1472.5,1476.650024,1447.599976,1461.800049,1568224
20-02-2018,1464,1492.530029,1463.949951,1472.380005,1889068
21-02-2018,1487,1531.300049,1480.030029,1521.150024,3089228
22-02-2018,1526,1539.5,1511.25,1525.099976,3463010
23-02-2018,1525,1544.5,1496.050049,1537.900024,3362500
26-02-2018,1537.5,1544.969971,1510.599976,1515.849976,1363882
27-02-2018,1520.5,1539.280029,1516,1521.180054,1717800
28-02-2018,1517.5,1531.969971,1510.719971,1517.530029,2706864
01-03-2018,1524.5,1530.599976,1510,1518.849976,1718124
05-03-2018,1524.5,1556.819946,1516.469971,1552.930054,2858168
06-03-2018,1561,1563.5,1515.069946,1521.400024,1906764
07-03-2018,1535,1544.5,1509.25,1513.719971,1917772
08-03-2018,1527.449951,1527.449951,1493.75,1501.969971,1951826
09-03-2018,1502.5,1531.599976,1488.599976,1517.050049,1872436
12-03-2018,1521.5,1541.949951,1517.75,1526.069946,2091340
13-03-2018,1462.449951,1469.849976,1436,1443.400024,88067154
14-03-2018,1446.469971,1461.530029,1437.530029,1443.449951,3668668
15-03-2018,1447.5,1451.280029,1427.800049,1434.849976,2348906
16-03-2018,1434.400024,1436,1402.5,1412.849976,7197482
19-03-2018,1414.5,1424,1410,1415.5,3489940
20-03-2018,1410,1436.599976,1409.5,1432.430054,4024984
21-03-2018,1436.25,1442.150024,1425,1428.380005,3907678
22-03-2018,1429.969971,1437.969971,1411.280029,1415.680054,2326094
23-03-2018,1401,1417.050049,1399.030029,1409.069946,3654122
